Sample,P,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Mo,Cd,Sb,Tl,Pb
1,125,1.96,1.38,3.92,18.9,0.18,1.44,1.06,148,2.43,11.3,0.47,0.25,0.18,0.22
2,151,2.17,1.63,4.66,136,0.26,1.35,1.57,13.6,3.13,10.9,0.45,0.35,0.08,0.70
3,147,1.93,1.18,1.23,15.7,0.13,1.00,2.50,9.81,2.86,10.3,0.78,0.24,0.05,0.23
4,165,2.05,2.20,1.62,28.9,0.16,2.60,1.58,57.2,2.68,10.3,0.50,0.26,0.07,0.22
5,131,2.02,1.40,2.13,21.2,0.11,1.28,1.61,8.37,2.53,10.9,0.23,0.27,0.03,0.19
6,124,2.34,2.46,2.13,83.5,0.23,1.38,2.61,60.7,2.47,11.1,0.20,0.25,0.04,0.47
7,117,1.98,1.21,5.32,29.3,0.12,1.13,1.71,10.4,2.53,10.8,0.54,0.24,0.03,0.41
8,117,2.25,1.56,1.45,32.3,0.19,1.50,2.40,54.6,2.69,10.9,0.80,0.23,0.03,0.65
9,88,1.74,1.44,1.50,22.2,0.15,4.51,1.45,27.5,1.90,10.7,0.35,0.20,0.03,0.28
10,94,2.02,1.96,3.84,78.1,0.31,1.59,1.89,8.78,2.00,10.7,0.17,0.20,0.02,0.25
11,80,2.02,1.47,2.79,49.9,0.13,6.26,1.68,104,2.15,11.5,0.23,0.20,0.26,0.36
12,110,2.03,1.44,1.67,25.2,0.15,1.12,20.9,51.9,2.97,11.2,0.40,0.22,0.05,0.38
13,80,2.01,1.44,1.49,16.8,0.14,1.30,1.71,37.2,2.25,11.2,0.50,0.19,0.04,0.31
14,81,1.94,1.65,1.83,25.0,0.13,1.84,2.44,116,2.03,10.9,0.56,0.18,0.03,0.41
15,83,1.94,2.32,0.94,16.7,0.10,2.41,2.18,18.2,2.15,10.6,0.29,0.19,0.02,0.19
16,88,1.65,4.09,1.31,34.6,0.23,1.46,2.59,14.0,1.83,10.4,1.47,0.22,0.02,0.35
18,88,2.04,1.40,1.62,25.3,0.09,1.89,2.26,65.1,2.83,11.1,1.90,0.18,0.02,0.46
19,79,2.16,1.42,20.1,21.2,0.34,1.55,2.10,12.2,1.87,11.2,0.28,0.21,0.02,0.18
20,98,2.09,1.68,1.87,32.3,0.19,1.60,4.60,46.1,2.00,11.1,0.44,0.23,0.02,0.44
21,74,1.96,1.31,1.71,15.0,0.22,1.55,2.17,29.7,2.26,10.8,0.77,0.35,0.48,0.72
22,100,2.24,2.41,2.07,50.1,0.29,2.11,2.35,18.0,2.46,12.4,0.43,0.22,0.08,0.59
23,110,2.70,5.32,1.85,68.4,0.22,3.57,3.61,17.6,2.22,11.6,0.08,0.25,0.04,0.20
24,122,1.86,3.85,2.40,121,0.16,1.32,2.94,11.7,2.10,10.7,1.14,0.29,0.04,0.72
25,86,1.81,1.43,1.64,27.4,0.12,1.16,35.3,77.6,2.01,9.87,0.07,0.26,0.03,0.68
26,106,2.16,2.82,1.94,49.9,0.14,1.64,1.61,38.9,1.94,11.9,0.08,0.23,0.03,0.28
27,86,1.03,2.97,10.0,68.4,0.32,2.74,2.21,73.6,1.35,6.46,0.12,0.20,0.02,0.22
28,68,1.06,1.13,1.12,15.0,0.11,1.51,2.01,32.4,1.21,7.20,0.08,0.15,0.02,0.25
29,67,1.23,1.16,1.86,19.7,0.08,3.90,5.91,24.9,1.38,73.3,0.20,11.6,0.02,0.22
31,76,1.55,1.40,1.44,34.7,0.12,1.23,41.3,111,2.01,9.53,0.33,0.20,0.25,0.46
32,101,2.28,1.98,19.3,25.1,0.52,2.30,4.72,56.6,2.36,11.2,0.64,0.22,0.06,0.45
33,89,2.12,4.28,2.05,31.1,0.12,1.14,5.36,11.1,2.44,11.2,0.30,0.27,0.08,0.91
34,93,1.88,1.64,2.06,24.3,0.14,1.74,3.23,44.2,4.07,9.70,5.32,0.21,0.03,0.92
35,92,2.37,1.84,5.37,59.7,0.12,1.41,2.27,62.5,2.55,11.4,0.72,0.20,0.03,0.94
36,84,1.67,1.78,1.45,20.2,0.24,2.14,4.94,59.4,2.07,9.82,0.76,0.24,0.03,0.34
37,85,2.11,2.39,2.04,37.0,0.11,1.23,2.95,27.7,4.46,11.3,3.18,0.18,0.02,0.42
38,76,1.30,1.26,1.41,30.8,0.07,1.04,2.02,12.6,1.60,7.80,0.11,0.25,0.01,0.25
39,77,2.26,1.39,1.97,15.6,0.17,2.18,1.58,14.5,2.17,11.3,0.07,0.20,0.03,0.21
40,95,2.42,2.77,1.65,21.3,0.20,1.59,1.80,39.9,2.15,11.7,0.47,0.27,0.47,0.43
41,98,2.04,1.45,2.11,17.4,0.11,1.46,2.75,10.3,2.27,10.9,0.35,0.19,0.07,0.26
42,92,1.92,1.94,2.13,51.0,0.19,4.10,5.69,71.5,2.17,10.6,0.27,0.24,0.05,0.29
43,83,1.78,1.27,2.07,15.2,0.08,4.38,1.50,43.9,1.96,9.75,0.60,0.16,0.03,0.24
44,89,1.19,3.30,2.18,22.4,0.11,2.37,3.94,26.4,1.48,7.48,0.11,0.17,0.02,0.20
45,85,2.10,1.45,1.59,18.2,0.10,1.40,0.98,10.3,1.89,11.1,0.06,0.18,0.02,0.15
46,133,2.48,2.42,2.28,29.9,0.23,2.60,3.95,11.4,2.95,12.7,0.48,0.22,0.03,0.33
47,104,2.49,5.50,2.39,31.0,0.20,2.29,9.17,137,4.62,11.3,0.57,1.22,0.25,0.58
48,85,2.07,2.44,2.18,17.1,0.15,2.10,6.61,44.0,1.96,11.2,0.23,0.22,0.03,0.88
49,122,2.86,2.52,1.16,23.0,0.10,1.51,2.16,37.6,2.55,11.5,0.20,0.23,0.02,0.34
50,111,1.90,1.32,2.16,18.5,0.10,1.54,2.01,10.9,3.04,135,0.75,25.0,0.24,0.33
51,85,2.08,1.49,1.98,24.2,0.13,1.70,8.93,21.6,2.60,11.8,0.43,0.29,0.05,0.52
52,89,2.13,2.21,2.85,36.5,0.16,1.78,9.00,36.3,2.88,14.9,0.50,0.25,0.03,0.54
53,89,1.32,2.39,3.32,39.9,0.13,1.11,3.40,15.5,1.53,13.6,0.12,0.15,0.02,0.23
54,88,2.04,1.28,2.64,20.3,0.10,1.40,1.82,8.28,2.71,10.6,0.57,0.23,0.02,0.44
55,92,7.75,11.93,3.29,41.0,0.28,2.26,15.1,52.6,58.10,33.4,2.95,27.4,2.16,1.51
56,84,1.58,1.64,1.68,21.3,0.11,1.10,4.14,29.1,2.14,8.49,1.40,0.20,0.04,0.36
57,92,1.83,2.33,1.97,110,0.12,1.50,4.63,13.5,2.38,9.70,0.38,0.24,0.02,0.32
58,87,1.41,1.29,2.66,89.3,0.10,1.28,12.7,34.5,1.66,7.91,0.51,0.40,0.02,0.35
59,116,2.15,1.39,2.55,32.7,0.09,1.32,1.77,59.8,2.39,10.3,0.35,0.21,0.02,0.26
62,92,2.18,1.57,1.65,22.9,0.13,1.56,45.2,139,2.07,10.2,0.23,0.23,0.48,0.23
QMP1,88,2.40,1.55,5.24,46.0,0.13,1.56,1.66,13.8,2.73,12.8,0.50,0.23,0.08,0.32
QMP2,105,2.23,1.54,4.37,35.2,0.11,1.32,1.65,9.65,2.31,12.3,0.10,0.24,0.04,0.27
QMP3,116,2.55,1.66,5.05,40.5,0.20,1.70,4.18,39.0,2.94,13.2,0.10,0.26,0.04,0.98
Blank1,0.7,0.00,0.00,0.02,0.03,0.00,0.01,0.05,0.1,0.00,0.00,0.00,0.00,0.00,0.00
Blank2,0.8,0.00,0.00,0.03,0.49,0.00,0.01,0.02,0.1,0.00,0.00,0.00,0.00,0.00,0.00
Blank3,0.6,0.00,0.00,0.04,0.05,0.00,0.02,0.04,0.2,0.00,0.00,0.00,0.00,0.00,0.00
Blank4,0.8,0.01,0.00,0.11,0.03,0.08,0.09,0.07,0.3,0.00,0.00,0.07,0.01,0.00,0.03
Blank5,0.7,0.00,0.00,0.04,0.02,0.00,0.01,0.03,0.2,0.00,0.00,0.00,0.00,0.00,0.01
Blank6,0.6,0.00,0.00,0.06,0.03,0.00,0.02,0.10,0.2,0.00,0.00,0.00,0.00,0.00,0.01
Blank7,0.6,0.00,0.00,0.02,0.02,0.00,0.01,0.06,0.1,0.00,0.00,0.00,0.00,0.00,0.00
Blank8,0.7,0.00,0.00,0.05,0.07,0.00,0.02,0.03,0.2,0.00,0.00,0.00,0.00,0.00,0.00
Blank9,0.7,0.00,0.00,0.03,0.04,0.00,0.02,0.17,0.2,0.00,0.00,0.00,0.00,0.00,0.01
Blank10,0.6,0.00,0.00,0.01,0.03,0.00,0.01,0.03,0.1,0.00,0.00,0.00,0.00,0.00,0.00
